CED_Name,CED_Number,vote_yes,pop,females,first_nations_pop,born_overseas,completed_highschool,median_age,age_over_65,median_monthly_mortgage_repayment,median_income_personal,median_income_family,median_income_household,median_rent,avg_household_size,married,divorced,never_married,unemployment,bachelors_degree,postgrad_degree,christian,hinduism,islam,judaism,no_religion
Moreton,CED324, 57.0 ,158071,79706,1907,63534,88739,34,20064,1950,637,1813,1601,385,2.8,61398,9002,50916,8.5,28706,11498,70491,4146,6860,153,52412
Oxley,CED325, 49.1 ,163208,81842,5011,56553,69445,33,16662,1733,672,1706,1551,350,2.9,60905,10672,45028,8.9,16751,5152,82676,3853,4222,154,44744
Petrie,CED326, 63.8 ,163268,84709,4575,41261,64909,38,27617,1800,670,1658,1387,350,2.6,61471,13521,42219,7.9,15203,3665,92664,2907,877,100,48748
Rankin,CED327, 68.0 ,179170,90544,5062,65402,73431,33,18458,1720,626,1529,1431,340,3,65203,11507,50218,9.5,16056,5080,91048,3656,8677,94,50919
Ryan,CED328, 60.9 ,155349,79422,1462,44471,94608,34,20654,2167,779,2359,1964,410,2.7,60929,8069,50724,7.2,33162,14117,78029,2411,2085,372,55881
Wide Bay,CED329, 57.6 ,144098,72763,5908,20413,45782,47,33473,1393,499,1215,1010,260,2.4,58771,14088,34022,9.1,10144,2037,79534,249,111,104,46293
Wright,CED330, 52.5 ,156437,78484,4589,26299,53637,39,22736,1820,629,1641,1482,315,2.9,64190,10917,38823,6.5,10795,2373,92056,430,625,122,45061
Adelaide,CED401, 74.8 ,163442,82378,1725,53338,89589,36,25035,1733,676,1918,1394,305,2.3,58529,11956,58307,8.1,31860,11867,70522,4985,6071,177,59068
Barker,CED402, 71.8 ,149502,74031,3933,16118,40390,44,30937,1100,570,1334,1050,185,2.3,61928,11273,36949,5.8,8226,1240,78914,279,1007,26,52614
Boothby,CED403, 56.2 ,145836,75585,1174,35196,70633,42,28486,1733,675,1855,1438,300,2.5,61723,10500,38961,6.3,23693,7438,70524,1704,2380,157,56553
Grey,CED404, 60.3 ,143526,70571,10403,13880,36934,44,29753,1100,534,1297,997,175,2.3,56275,10815,38045,8,7700,1047,76429,364,311,23,49054
Hindmarsh,CED405, 59.7 ,151243,77977,1501,39964,70582,41,30756,1733,643,1699,1244,285,2.3,59264,12030,45388,6.9,21505,6223,80073,3108,2938,102,47950
Kingston,CED406, 52.7 ,147908,75606,2492,32443,52018,39,24502,1408,587,1412,1168,290,2.5,55870,12811,40731,7.9,10783,2033,65905,682,669,54,65053
Makin,CED407, 38.4 ,149513,75662,1965,40538,58336,39,25392,1500,619,1556,1305,300,2.5,62181,10502,39396,7.4,13848,3664,75181,2582,4263,70,50885
Mayo,CED408, 65.5 ,140367,71592,1419,23244,54429,46,31351,1517,613,1540,1241,275,2.5,63588,11069,31274,5.2,15445,4008,66662,229,138,101,57995
Port Adelaide,CED409, 63.9 ,165086,83849,3849,48480,60271,37,24019,1460,539,1368,1128,269,2.5,57505,13606,50674,9.4,13384,3195,78446,3556,5522,49,52908
